Introduction,Header,Name,Account,Alias,BaseCurrency,AccountType,AnalysisPeriod,PerformanceMeasure
Introduction,Data,Lifelong Investor LLC,U11609999,,USD,Separate Trading Limit,"March 20, 2023 to June 16, 2023 (Daily)",TWR
Allocation by Asset Class,MetaInfo,Analysis Period,"March 20, 2023 - June 16, 2023",,,,,
Allocation by Asset Class,Header,Date,Commodities,Equities,Fixed Income,Cash,NAV,
Allocation by Asset Class,Data,20230320,0,0,0,100,100,
Allocation by Asset Class,Data,20230321,0,0,0,100,100,
Allocation by Asset Class,Data,20230322,0,0,0,100,100,
Allocation by Asset Class,Data,20230323,0,0,0,100,100,
Allocation by Asset Class,Data,20230324,0,0,0,100,100,
Allocation by Asset Class,Data,20230327,0,0,0,93.440517,93.440517,
Allocation by Asset Class,Data,20230328,0,0,0,93.440517,93.440517,
Allocation by Asset Class,Data,20230329,0,0,0,93.440517,93.440517,
Allocation by Asset Class,Data,20230330,0,0,0,93.440517,93.440517,
Allocation by Asset Class,Data,20230331,0,0,0,94.050517,94.050517,
Allocation by Asset Class,Data,20230403,0,0,0,94.780517,94.780517,
Allocation by Asset Class,Data,20230404,0,0,0,10011.04052,10011.04052,
Allocation by Asset Class,Data,20230405,0,0,0,19627.06052,19627.06052,
Allocation by Asset Class,Data,20230406,0,0,0,21368.08052,21368.08052,
Allocation by Asset Class,Data,20230407,0,0,0,21368.08052,21368.08052,
Allocation by Asset Class,Data,20230410,0,0,0,50291.60052,50291.60052,
Allocation by Asset Class,Data,20230411,0,0,0,50291.95052,50291.95052,
Allocation by Asset Class,Data,20230412,0,0,0,50708.89552,50708.89552,
Allocation by Asset Class,Data,20230413,0,0,0,52644.11052,52644.11052,
Allocation by Asset Class,Data,20230414,0,0,0,51663.31052,51663.31052,
Allocation by Asset Class,Data,20230417,0,6065.8,0,43763.13081,49828.93081,
Allocation by Asset Class,Data,20230418,0,6076.2,0,44635.67081,50711.87081,
Allocation by Asset Class,Data,20230419,0,6061.9,0,43788.64081,49850.54081,
Allocation by Asset Class,Data,20230420,0,6039.8,0,45820.25081,51860.05081,
Allocation by Asset Class,Data,20230421,0,6041.75,0,45750.30581,51792.05581,
Allocation by Asset Class,Data,20230424,0,6048.25,0,47453.75581,53502.00581,
Allocation by Asset Class,Data,20230425,0,11349.72,0,38505.42081,49855.14081,
Allocation by Asset Class,Data,20230426,0,16713.39,0,35980.16081,52693.55081,
